LMST02030089	C05138
LMST02030166	C05489
LMPR0103060002	C09750
LMFA07050030	C00332
LMST02030086	C05488
LMPR0103190013	C09289
LMST01010105	C08795
LMPR0104170017	C11860
LMPK10000004	C03944
LMPR01070254	C05413
LMFA03060006	C14776
LMFA03060086	C14776
LMST04030173	C16260
LMFA01100035	C02378
LMFA03090005	C14808
LMSP01050002	C01120
LMST01010109	C08799
LMFA03050008	C14774
LMPR0102070001	C01433
LMFA01170018	C11002
LMST03020258	C01673
LMFA07060028	C12355
LMPK04000041	C12154
LMGP0105AA00	C04233
LMPK14000003	C05086
LMST02020070	C05294
LMSP04000000	C05681
LMFA01170002	C16308
LMPR01090054	C16679
LMFA01030085	C16526
LMST02030181	C04108
LMPR0104010017	C05427
LMPR0104330001	C09155
LMFA11000002	C01387
LMFA07060008	C05750
LMST01020003	C14641
LMST01020030	C14641
LMFA07050394	C05276
LMFA01060003	C00164
LMPK05000007	C12246
LMST02010032	C05298
LMFA01160003	C13842
LMPK13090007	C10245
LMFA03050020	C14771
LMFA03080005	C14771
LMFA03080001	C14771
LMST01130007	C08880
LMPK13090017	C13706
LMFA01010024	C08320
LMFA01030407	C16534
LMFA01030357	C16300
LMFA01030169	C16300
LMPR0102090032	C11397
LMST01160017	C08841
LMPR0102090045	C12300
LMFA01030982	C16648
LMFA07010721	C07874
LMST01010201	C05500
LMPR0102010015	C12298
LMPR04000003	C08627
LMPK04000019	C11960
LMPR0104160002	C11890
LMPK04000006	C01912
LMPK13090018	C14233
LMFA12000006	C08377
LMST02030128	C13358
LMFA01080009	C13947
LMPR0102070012	C09788
LMPR01070282	C08614
LMPK07000001	C06973
LMFA07050307	C00877
LMST02020058	C03772
LMST01031017	C08829
LMST04030135	C05458
LMFA12000005	C08379
LMFA07010836	C05126
LMFA03060051	C04577
LMFA05000092	C14696
LMST05020017	C16261
LMST02030100	C05476
LMST02020017	C14475
LMPR0102090020	C09868
LMFA07060005	C05746
LMPR0102070016	C09802
LMPR01070273	C08599
LMFA03010019	C05957
LMFA07050292	C00136
LMFA03010049	C06438
LMFA07060021	C12348
LMFA07050288	C02249
LMST02030026	C01780
LMFA07060027	C12354
LMST01080004	C08896
LMPR01090047	C15492
LMFA07050360	C00154
LMFA03010146	C04654
LMST02030096	C03588
LMST02010001	C00951
LMFA01010006	C01585
LMST01010115	C08805
LMST01010019	C13550
LMSP0501AB00	C01290
LMST01010106	C08796
LMST01010013	C03594
LMFA07050222	C05998
LMST02010036	C07534
LMGL0401AA00	C04315
LMFA07010822	C10320
LMPR01090002	C00376
LMPR01010009	C11811
LMPK12140366	C09732
LMFA03010005	C04685
LMFA01050343	C06762
LMST01010069	C01164
LMFA03090002	C14809
LMFA01060161	C03273
LMFA07010713	C08453
LMFA07050315	C00882
LMFA12000002	C01875
LMPK07000002	C07225
LMST01030099	C15781
LMST01010206	C05439
LMPK13090036	C10256
LMFA02000236	C14762
LMFA02000228	C14762
LMFA02000154	C14762
LMFA02000035	C14762
LMPR0104390004	C11896
LMFA01170006	C08277
LMFA01020277	C04181
LMPR0102090035	C11400
LMPR0102070029	C11662
LMST02030182	C03748
LMST01010167	C15816
LMPR01070256	C05430
LMPK12030009	C10225
LMFA01100036	C05520
LMPR0104050005	C12078
LMST01100008	C01902
LMPR01090007	C05919
LMFA07060037	C12364
LMPK04000033	C11992
LMPR0104080010	C09118
LMPK13090027	C15268
LMFA07050395	C06737
LMST02030121	C08176
LMST01010195	C08835
LMSP03020000	C06062
LMPR01070262	C08579
LMPR0104010016	C02117
LMGP01060014	C04317
LMFA01160002	C04465
LMPR0103090004	C09403
LMPR02030030	C03313
LMST02030186	C02140
LMGP06010000	C01194
LMFA07010742	C19318
LMPK13040016	C10404
LMGP0201AA00	C01241
LMFA01050243	C03197
LMFA01050463	C03197
LMPK13090029	C15457
LMPK14000002	C01895
LMPR0104390003	C11895
LMPK12040007	C09763
LMST01010116	C08806
LMPR01070276	C08603
LMPR0104010004	C01607
LMST04030168	C15518
LMFA07060014	C05756
LMPR0103190004	C09545
LMPK07000009	C12011
LMPK13090042	C14341
LMFA07050212	C03561
LMFA01030066	C08363
LMFA07070060	C02571
LMST02030091	C01124
LMPK04000030	C11989
LMST01030114	C08813
LMST01030098	C08813
LMPK12030003	C10209
LMST01010200	C05501
LMST01040252	C14285
LMST02020007	C00280
LMPK13040011	C10379
LMFA07070004	C02990
LMPK04000021	C11968
LMPK13050005	C12433
LMFA08010022	C04424
LMST02030160	C04379
LMPR01090001	C00473
LMPR0102090036	C11401
LMPR0102070020	C11648
LMPR0104390002	C11894
LMPR0102070022	C11651
LMST02030163	C03207
LMST02030130	C13712
LMFA07060007	C05748
LMST05020018	C16259
LMPR0103800003	C09720
LMFA03060074	C14749
LMST05020005	C08357
LMST02010033	C05299
LMFA07050282	C00894
LMPK13090001	C01745
LMFA01030092	C08323
LMFA01030378	C16522
LMSP02050000	C02960
LMST02020083	C05297
LMFA01020030	C08279
LMPK12030004	C10238
LMPR01070300	C08596
LMST02020056	C01554
LMFA07060033	C12360
LMPK13040017	C13526
LMST02020029	C07198
LMFA03010012	C05962
LMST02030093	C02821
LMPK13040007	C10316
LMFA01030405	C16533
LMFA07050229	C11936
LMFA07060006	C05747
LMFA01030946	C16654
LMPR0102090040	C11416
LMSP0501AC00	C02686
LMGP05010000	C03892
LMFA03060070	C14812
LMFA07050393	C05271
LMST01010202	C05103
LMPK12110004	C00389
LMPR0102120013	C06307
LMPK04000015	C08031
LMFA07050347	C05989
LMPK04000025	C11984
LMFA05000566	C07288
LMST05040001	C05122
LMGL0501AE00	C06038
LMFA03020068	C04741
LMFA03010134	C04741
LMPR01070284	C13433
LMFA02000230	C14829
LMFA02000234	C14829
LMFA08030002	C11837
LMPK13040005	C10314
LMST02020005	C04295
LMST02030180	C07370
LMST02030176	C07119
LMFA07060031	C12358
LMST02020069	C05293
LMPK13090031	C16604
LMPR0102070025	C11656
LMPR0103090013	C09290
LMPR0102070036	C11671
LMST01080007	C03963
LMPR0102090034	C11399
LMPK06000003	C07909
LMFA01060077	C00022
LMFA07050339	C00827
LMGP10050043	C00416
LMGP10050044	C00416
LMGP10050042	C00416
LMGP10010000	C00416
LMPK13010001	C01839
LMFA07060035	C12362
LMST02030175	C05480
LMFA07050336	C02939
LMST01010173	C03855
LMFA03060071	C14820
LMFA02000016	C14765
LMPR0104170027	C11870
LMPR03020006	C00348
LMFA07050350	C03460
LMFA07050331	C00630
LMFA05000062	C01633
LMST03020001	C05443
LMST01030115	C15777
LMST04030176	C05499
LMFA03050010	C14775
LMFA05000647	C08402
LMFA07050189	C02154
LMFA01060002	C00109
LMPK04000003	C01375
LMPR0102070026	C11657
LMPR0104050004	C11889
LMPK13090019	C14622
LMGP02050000	C04438
LMSP0601AA00	C06128
LMST02010041	C05300
LMPK13050001	C01661
LMFA01100037	C05715
LMFA01030001	C00219
LMFA01030003	C00219
LMFA07010889	C09433
LMFA07050343	C02050
LMFA07050060	C02050
LMST02010027	C05301
LMST01080006	C08885
LMFA07050249	C05267
LMFA07050016	C05267
LMFA08010023	C01136
LMST01010112	C08802
LMST01010208	C04453
LMPR0103330003	C09625
LMPK13050004	C12430
LMPR0106100001	C08748
LMPK13050003	C12429
LMPK12010003	C05904
LMPK12110002	C10084
LMPK13040010	C10360
LMST02020061	C04676
LMFA01050485	C03045
LMFA02000038	C14826
LMFA03010003	C00584
LMFA03010008	C00584
LMST05020003	C03642
LMFA07050348	C04348
LMST01040153	C08816
LMSP02010000	C00195
LMST01010094	C08825
LMPR0102090042	C11937
LMFA03060069	C14778
LMPR01070258	C05433
LMPR01070011	C05433
LMPR01070291	C13431
LMPK12110001	C10107
LMFA01050006	C00989
LMFA05000658	C08449
LMFA03060019	C14807
LMGP0205AA00	C05973
LMPR0103410001	C09561
LMFA12000003	C01949
LMFA03010077	C00639
LMFA03010002	C00639
LMST01010089	C01189
LMPR0103330004	C09680
LMPR0103410007	C09676
LMFA01030090	C08316
LMFA01030089	C08316
LMPR0102010014	C12295
LMST05010025	C11237
LMST01010175	C04840
LMPR01070294	C14045
LMPR0103050003	C02293
LMFA01030060	C16536
LMPR0102090041	C11924
LMFA07050160	C05266
LMPK07000004	C06571
LMFA07010877	C16184
LMFA03040001	C06314
LMST02020075	C08157
LMST05010019	C11346
LMST01010194	C08819
LMFA01130001	C00725
LMPK13040013	C10384
LMFA03020023	C00909
LMPR0102010009	C09863
LMPR03030008	C04574
LMPR02030029	C02785
LMFA07050369	C00412
LMFA02000114	C04785
LMPK13040004	C10311
LMPK12030007	C10222
LMPR01070257	C05432
LMFA03020077	C05951
